DateTime,P_Neg,P_Neu,P_Pos,P_Comp,Price
5/10/2022,0.038639535,0.875139535,0.08622093,0.114082558,59811038817
5/11/2022,0.058600001,0.837272725,0.104145455,0.121298183,70388855818
5/12/2022,0.057258929,0.856392856,0.086348214,0.085566072,66989173272
5/13/2022,0.05107353,0.865367647,0.083529411,0.088817647,42841124537
5/14/2022,0.044053571,0.865517857,0.090446429,0.08935,28579868620
5/15/2022,0.074409836,0.801852457,0.123737705,0.150485247,25835372065
5/16/2022,0.063842857,0.81587143,0.120271429,0.173142856,32613897286
5/17/2022,0.00915625,0.868718751,0.122156249,0.258012495,29101473475
5/18/2022,0.033888889,0.858365079,0.107785714,0.174268254,31285268319
5/19/2022,0.064722223,0.818277773,0.117,0.087511112,33773447707
5/20/2022,0,0.869500004,0.130499999,0.277637491,30749382605
5/21/2022,0.032862745,0.839960783,0.127176469,0.223305881,17274840442
5/22/2022,0.020184211,0.867684209,0.11218421,0.241271053,21631532270
5/23/2022,0.044454545,0.852393942,0.103181819,0.140969694,31483454557
5/24/2022,0.047163265,0.831081638,0.12177551,0.19032449,26616506245
5/25/2022,0.037533334,0.859133327,0.103333333,0.181860003,27525063551
5/26/2022,0.037895833,0.853583332,0.1085,0.217974998,36774325352
5/27/2022,0.050548781,0.879365854,0.070097561,0.069469512,36582005748
5/28/2022,0.041379311,0.827637932,0.130948276,0.21026034,35519577634
5/29/2022,0.051333333,0.854157893,0.094526316,0.157991228,18093886409
5/30/2022,0.048689655,0.850011492,0.101321839,0.153204597,39277993274
5/31/2022,0.036571428,0.903714291,0.059714285,-0.017157145,33538210634
6/1/2022,0.039645833,0.849333332,0.111041667,0.141620835,41135817341
6/2/2022,0.056235295,0.855823538,0.087882354,0.056982353,29083562061
6/3/2022,0.033037037,0.85808642,0.108864198,0.192419753,26175547452
6/4/2022,0.048483516,0.85956044,0.091956044,0.143835164,16588370958
6/5/2022,0.055854838,0.855532257,0.088596774,0.105185481,17264085441
6/6/2022,0.035179776,0.854460675,0.110337077,0.215393253,31947336829
6/7/2022,0.028941176,0.899058824,0.072029412,0.1454,40770974039
6/8/2022,0.038603175,0.85942857,0.102,0.163831744,30242059107
6/9/2022,0.048026316,0.837631577,0.114289474,0.212142103,21692004719
6/10/2022,0.05401626,0.839829268,0.106170731,0.227071541,29867476527
6/11/2022,0.065311111,0.844244444,0.090422223,0.075788886,27246574439
6/12/2022,0.037319149,0.865936173,0.096765957,0.207674464,34163220274
6/13/2022,0.053959999,0.844420004,0.101620001,0.122488,68204556440
6/14/2022,0.035017241,0.864931037,0.100051724,0.190946549,50913575242
6/15/2022,0.043393939,0.869212123,0.087348485,0.113703027,54912007015
6/16/2022,0.043117647,0.876705883,0.080205883,0.185561761,31183975654
6/17/2022,0.063764045,0.846831462,0.089438202,0.110821345,27132421514
6/18/2022,0.039614035,0.866385965,0.093982456,0.095863157,42009436760
6/19/2022,0.053166667,0.862666667,0.084158333,0.113910833,35329942625
6/20/2022,0.037528846,0.872182692,0.090278846,0.140885577,30818458597
6/21/2022,0.035383721,0.868709301,0.095941861,0.167641858,28970212744
6/22/2022,0.008785714,0.867928573,0.123357144,0.250099998,28574793478
6/23/2022,0.035960784,0.900274512,0.063784314,0.112149019,26188097173
6/24/2022,0.075260871,0.840010868,0.08473913,0.062548912,24957784918
6/25/2022,0.052754717,0.849320757,0.097962264,0.144181127,18372538715
6/26/2022,0.044820225,0.845752809,0.109449438,0.200030335,18027170497
6/27/2022,0.057296704,0.851835165,0.090857143,0.10071868,20965695707
6/28/2022,0.067897059,0.850323529,0.08175,0.052898526,21381535161
6/29/2022,0.049151899,0.857632912,0.093227848,0.111377213,23552740328
6/30/2022,0.087022223,0.802111112,0.110866667,0.106857778,26267239923
7/1/2022,0.037125,0.853635416,0.109249999,0.198265624,30767551159
7/2/2022,0.029520833,0.847791669,0.1226875,0.249824998,18100418740
7/3/2022,0.0412,0.856366669,0.102444444,0.130045553,16390821947
7/4/2022,0.055889908,0.813073394,0.131073394,0.216115594,21594638208
7/5/2022,0.0434,0.855888893,0.100644445,0.191124442,26715546990
7/6/2022,0.033183908,0.876367817,0.090448275,0.150904597,24598943708
7/7/2022,0.041525424,0.854220337,0.10422034,0.120905083,25814972520
7/8/2022,0.029962962,0.874370372,0.095666668,0.23285555,49899834488
7/9/2022,0.035559322,0.846627122,0.11779661,0.238191524,29641127858
7/10/2022,0.034771429,0.851828572,0.1134,0.256862853,28688807249
7/11/2022,0.018,0.885722223,0.096333332,0.25542222,24150249025
7/12/2022,0.057862069,0.856827588,0.08529885,0.104494251,25810220018
7/13/2022,0.053227273,0.879772728,0.067022727,0.077549999,33042430345
7/14/2022,0.0391,0.863740002,0.09715,0.162747997,31158743333
7/15/2022,0.03927907,0.838488374,0.122279071,0.181613951,25905575359
7/16/2022,0.048821918,0.862273974,0.088890411,0.125734244,24302954056
7/17/2022,0.037813953,0.884476745,0.077674418,0.144832555,22927802083
7/18/2022,0.045875913,0.856321168,0.097824818,0.158327736,39974475562
7/19/2022,0.04618919,0.848270271,0.105567567,0.146540544,48765202697
7/20/2022,0.032377778,0.847688888,0.119955556,0.260726666,42932549127
7/21/2022,0.044175439,0.891649122,0.064210526,0.066452631,33631012204
7/22/2022,0.099090909,0.82390909,0.076954544,0.013740906,31421555646
7/23/2022,0.038444445,0.854174603,0.107365079,0.151377774,24021799169
7/24/2022,0.04909375,0.864031253,0.08684375,0.132528125,23565495303
7/25/2022,0.058978261,0.8531087,0.087934783,0.076132608,35574561406
7/26/2022,0.039655172,0.911379309,0.049034483,0.062127584,28624673855
7/27/2022,0.038126984,0.858936506,0.102952381,0.175879365,31758955233
7/28/2022,0.030348837,0.882186046,0.087465117,0.169548837,40212386158
7/29/2022,0.037227941,0.843257352,0.119551471,0.225732353,35887249746
7/30/2022,0.041844828,0.893706899,0.064482759,0.076987932,28148218301
7/31/2022,0.050727273,0.837272731,0.111999999,0.156090912,23553591896
8/1/2022,0.042971429,0.866285715,0.090757144,0.11800143,25849159141
8/2/2022,0.032185714,0.897257145,0.070571428,0.140865713,28389250717
8/3/2022,0.0322,0.878653333,0.089173334,0.170850665,26288169966
8/4/2022,0.045534653,0.858405943,0.096059405,0.14380495,25120229769
8/5/2022,0.029361702,0.880595748,0.090021276,0.130017021,28881249043
8/6/2022,0.044441176,0.866029415,0.089499999,0.165664702,15978259885
8/7/2022,0.024659794,0.887154643,0.088185567,0.181819587,15886817043
8/8/2022,0.023,0.896460997,0.080539007,0.181620566,28575544847
8/9/2022,0.047383721,0.883046515,0.069569767,0.099680232,23555719219
8/10/2022,0.025907692,0.85444615,0.119676924,0.25098154,32837431722
8/11/2022,0.0516875,0.839609381,0.108734375,0.166912499,37127036580
8/12/2022,0.038875,0.871983335,0.089133333,0.173118333,27265804688
8/13/2022,0.040347826,0.853260872,0.106391304,0.218524348,22987346289
8/14/2022,0.033725275,0.88413187,0.082153846,0.123953846,22994133555
8/15/2022,0.034079646,0.869247791,0.096672566,0.221126546,35123501685
8/16/2022,0.044171876,0.859968754,0.095875,0.150818749,27753685646
8/17/2022,0.065708333,0.838083332,0.096194444,0.118097224,30931623076
8/18/2022,0.074149999,0.823649999,0.102250001,0.0760575,23747613147
8/19/2022,0.039,0.901030302,0.059969697,0.0998,40509610260
8/20/2022,0.045388889,0.86994445,0.084722223,0.112755559,27595671000
8/21/2022,0.035871428,0.895371431,0.068771428,0.136852856,23102307723
8/22/2022,0.027756757,0.86375676,0.108513514,0.208194588,31666498758
8/23/2022,0.043714286,0.890031747,0.066253968,0.071368255,31878280659
8/24/2022,0.029718182,0.87357273,0.096736364,0.162435455,31962253368
8/25/2022,0.031840909,0.901000003,0.067204545,0.145920454,31028679593
8/26/2022,0.069693879,0.86489796,0.065428571,0.061497962,42326789564
8/27/2022,0.054016667,0.875766669,0.070233334,0.053121666,30116729776
8/28/2022,0.048460177,0.849663718,0.101867257,0.153255753,24366810591
8/29/2022,0.048773109,0.870739495,0.080571428,0.061830252,32637854078
8/30/2022,0.052191489,0.839404253,0.108361702,0.107508514,34483360283
8/31/2022,0.123111112,0.77044444,0.106666666,0.17198889,33225232872
9/1/2022,0.053407895,0.855026317,0.091618421,0.099811184,30182031010
9/2/2022,0.040068702,0.857961833,0.102007634,0.148403816,29123998928
9/3/2022,0.051116279,0.848372088,0.100627907,0.103262791,23613051457
9/4/2022,0.029423077,0.896240385,0.074403846,0.105615383,25245861652
9/5/2022,0.037636363,0.869236366,0.093254545,0.175103634,28813460025
9/6/2022,0.038766129,0.869161291,0.092120968,0.157088709,43403978910
9/7/2022,0.045604938,0.819876543,0.134518518,0.16096543,35239757134
9/8/2022,0.050488372,0.865023256,0.084604651,0.097437209,32194477850
9/9/2022,0.047194445,0.872361113,0.080500001,0.12998333,48469528171
9/10/2022,0.054017857,0.860410712,0.085553572,0.066235715,36913738894
9/11/2022,0.049678571,0.878178572,0.072142858,0.051089285,34493951963
9/12/2022,0.019612904,0.847870965,0.132612902,0.215493547,50212088965
9/13/2022,0.03,0.87164,0.09828,0.209859996,51091116622
9/14/2022,0.017555555,0.911111113,0.071361112,0.14949722,37872380889
9/15/2022,0.051207547,0.860660381,0.088169812,0.114769811,36389011503
9/16/2022,0.047285715,0.873942857,0.078857142,0.090968571,30123362273
9/17/2022,0.037013889,0.884875,0.078166667,0.115447221,24957448100
9/18/2022,0.045799999,0.887133328,0.067066667,0.037400001,31254779144
9/19/2022,0.049065218,0.862891306,0.088043478,0.13646739,40177002624
9/20/2022,0.035780488,0.880634149,0.083609756,0.155082923,36791346508
9/21/2022,0.03832,0.884144002,0.077576,0.091606398,46363793975
9/22/2022,0.050952381,0.875333333,0.073690476,0.06513095,41135767926
9/23/2022,0.04236,0.861999996,0.09572,0.169017332,38896078052
9/24/2022,0.038761905,0.870936509,0.09036508,0.099128571,26149643168
9/25/2022,0.076181818,0.844590909,0.079318181,0.025465907,23359966112
9/26/2022,0.051535715,0.871035716,0.077464285,0.06527857,44148798321
9/27/2022,0.041297297,0.843810811,0.114891891,0.164418919,58571439619
9/28/2022,0.024914634,0.871585367,0.10354878,0.221998778,53071298734
9/29/2022,0.044741936,0.872645163,0.082645162,0.092006452,41037843771
9/30/2022,0.035235294,0.881098039,0.083705883,0.106435296,43975248085
10/1/2022,0.049870968,0.864806453,0.085344086,0.095240859,18719537670
10/2/2022,0.035365591,0.88906452,0.075655914,0.104650537,20765955327
10/3/2022,0.029124183,0.879359481,0.091549019,0.209057515,30484729489
10/4/2022,0.031742268,0.886195881,0.082092783,0.147752576,35887278685
10/5/2022,0.032342857,0.916628575,0.051085714,0.07280857,33223790572
10/6/2022,0.022727273,0.870200002,0.10709091,0.202325454,34711412966
10/7/2022,0.027945055,0.888241761,0.083868132,0.173561538,29227315390
10/8/2022,0.046125,0.877999999,0.0759375,0.11709375,16437423167
10/9/2022,0.029355932,0.872949162,0.097745763,0.172418642,16837262532
10/10/2022,0.036741573,0.891573036,0.071730337,0.104214607,27425022774
10/11/2022,0.038849057,0.877000007,0.084188679,0.11068679,28711532910
10/12/2022,0.036245098,0.882784316,0.081009803,0.126710784,24950173846
10/13/2022,0.052272727,0.883909095,0.063818181,0.027399999,44219840004
10/14/2022,0.038181818,0.900931824,0.060931819,0.056356816,38452356727
10/15/2022,0.027928572,0.892428578,0.079678572,0.134555713,16192235532
10/16/2022,0.034161017,0.894296616,0.071584746,0.11706949,17988916650
10/17/2022,0.056,0.872403674,0.071642201,0.072279816,27472552998
10/18/2022,0.043676471,0.873308827,0.083058824,0.108752206,30580012344
10/19/2022,0.025247059,0.91491765,0.059905882,0.097314117,22425387184
10/20/2022,0.033571429,0.890910718,0.075553571,0.115519642,24493974420
10/21/2022,0.039697675,0.888081399,0.072255814,0.090343021,32459287866
